         x |          y
------------------------7.00 | -25.410000
-6.65 | -22.102500
-6.30 | -19.040000
-5.95 | -16.222500
-5.60 | -13.650000
-5.25 | -11.322500
-4.90 | -9.240000
-4.55 | -7.402500
-4.20 | -5.810000
-3.85 | -2.224800
-3.50 | -1.981000
-3.15 | -1.751700
-2.80 | -1.564600
-2.45 | -1.442400
-2.10 | -1.400000
-1.75 | -1.442400
-1.40 | -1.564600
-1.05 | -1.751700
-0.70 | -1.981000
-0.35 | -2.224800
0.00 | -2.453400
0.35 | -2.639200
0.70 | -2.759600

_______________________
Количество положительных y: 0.0000Сумма значений положительных y: 0.0000Произведение значений положительных y: 1.0000
